Prompt,User,Vision,Score,Robot
,get me a apple,found,1,"pick apple, go back, place apple."
,get me a apple,none,0,failed to find apple in the scene. Any guidance?
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,Turn left,none,1,"turn left, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,Turn right,none,1,"turn right, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,It is on the left,none,1,"turn left, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,It is behind you,none,1,"turn around, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,Turn around,none,1,"turn around, search for apple, pick apple, go back, place apple."
,get me a apple,found,0,found the apple but I cannot perform the task. Any guidance?
 <user>: get me a apple <robot>: found the apple but I cannot perform the task. Any guidance?,Get the apple on the table to the left,none,1,"turn left, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: found the apple but I cannot perform the task. Any guidance?,Get the apple on the table to the right,none,1,"turn right, search for apple, pick apple, go back, place apple."
,get me a banana,found,1,"pick banana, go back, place banana."
,get me a banana,none,0,failed to find banana in the scene. Any guidance?
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,Turn left,none,1,"turn left, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,Turn right,none,1,"turn right, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,It is on the left,none,1,"turn left, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,It is behind you,none,1,"turn around, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,Turn around,none,1,"turn around, search for banana, pick banana, go back, place banana."
,get me a banana,found,0,found the banana but I cannot perform the task. Any guidance?
 <user>: get me a banana <robot>: found the banana but I cannot perform the task. Any guidance?,Get the banana on the table to the left,none,1,"turn left, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: found the banana but I cannot perform the task. Any guidance?,Get the banana on the table to the right,none,1,"turn right, search for banana, pick banana, go back, place banana."
,get me a orange,found,1,"pick orange, go back, place orange."
,get me a orange,none,0,failed to find orange in the scene. Any guidance?
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,Turn left,none,1,"turn left, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,Turn right,none,1,"turn right, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,It is on the left,none,1,"turn left, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,It is behind you,none,1,"turn around, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,Turn around,none,1,"turn around, search for orange, pick orange, go back, place orange."
,get me a orange,found,0,found the orange but I cannot perform the task. Any guidance?
 <user>: get me a orange <robot>: found the orange but I cannot perform the task. Any guidance?,Get the orange on the table to the left,none,1,"turn left, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: found the orange but I cannot perform the task. Any guidance?,Get the orange on the table to the right,none,1,"turn right, search for orange, pick orange, go back, place orange."
,get me a lemon,found,1,"pick lemon, go back, place lemon."
,get me a lemon,none,0,failed to find lemon in the scene. Any guidance?
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,Turn left,none,1,"turn left, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,Turn right,none,1,"turn right, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,It is on the left,none,1,"turn left, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,It is behind you,none,1,"turn around, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,Turn around,none,1,"turn around, search for lemon, pick lemon, go back, place lemon."
,get me a lemon,found,0,found the lemon but I cannot perform the task. Any guidance?
 <user>: get me a lemon <robot>: found the lemon but I cannot perform the task. Any guidance?,Get the lemon on the table to the left,none,1,"turn left, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: found the lemon but I cannot perform the task. Any guidance?,Get the lemon on the table to the right,none,1,"turn right, search for lemon, pick lemon, go back, place lemon."
,get me a lime,found,1,"pick lime, go back, place lime."
,get me a lime,none,0,failed to find lime in the scene. Any guidance?
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,Turn left,none,1,"turn left, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,Turn right,none,1,"turn right, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,It is on the left,none,1,"turn left, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,It is behind you,none,1,"turn around, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,Turn around,none,1,"turn around, search for lime, pick lime, go back, place lime."
,get me a lime,found,0,found the lime but I cannot perform the task. Any guidance?
 <user>: get me a lime <robot>: found the lime but I cannot perform the task. Any guidance?,Get the lime on the table to the left,none,1,"turn left, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: found the lime but I cannot perform the task. Any guidance?,Get the lime on the table to the right,none,1,"turn right, search for lime, pick lime, go back, place lime."
,get me a mug,found,1,"pick mug, go back, place mug."
,get me a mug,none,0,failed to find mug in the scene. Any guidance?
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,Turn left,none,1,"turn left, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,Turn right,none,1,"turn right, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,It is on the left,none,1,"turn left, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,It is behind you,none,1,"turn around, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,Turn around,none,1,"turn around, search for mug, pick mug, go back, place mug."
,get me a mug,found,0,found the mug but I cannot perform the task. Any guidance?
 <user>: get me a mug <robot>: found the mug but I cannot perform the task. Any guidance?,Get the mug on the table to the left,none,1,"turn left, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: found the mug but I cannot perform the task. Any guidance?,Get the mug on the table to the right,none,1,"turn right, search for mug, pick mug, go back, place mug."
,get me a bottle,found,1,"pick bottle, go back, place bottle."
,get me a bottle,none,0,failed to find bottle in the scene. Any guidance?
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,Turn left,none,1,"turn left, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,Turn right,none,1,"turn right, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,It is on the left,none,1,"turn left, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,It is behind you,none,1,"turn around, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,Turn around,none,1,"turn around, search for bottle, pick bottle, go back, place bottle."
,get me a bottle,found,0,found the bottle but I cannot perform the task. Any guidance?
 <user>: get me a bottle <robot>: found the bottle but I cannot perform the task. Any guidance?,Get the bottle on the table to the left,none,1,"turn left, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: found the bottle but I cannot perform the task. Any guidance?,Get the bottle on the table to the right,none,1,"turn right, search for bottle, pick bottle, go back, place bottle."
,get me a can,found,1,"pick can, go back, place can."
,get me a can,none,0,failed to find can in the scene. Any guidance?
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,Turn left,none,1,"turn left, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,Turn right,none,1,"turn right, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,It is on the left,none,1,"turn left, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,It is behind you,none,1,"turn around, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,Turn around,none,1,"turn around, search for can, pick can, go back, place can."
,get me a can,found,0,found the can but I cannot perform the task. Any guidance?
 <user>: get me a can <robot>: found the can but I cannot perform the task. Any guidance?,Get the can on the table to the left,none,1,"turn left, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: found the can but I cannot perform the task. Any guidance?,Get the can on the table to the right,none,1,"turn right, search for can, pick can, go back, place can."
,get me a glass,found,1,"pick glass, go back, place glass."
,get me a glass,none,0,failed to find glass in the scene. Any guidance?
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,Turn left,none,1,"turn left, search for glass, pick glass, go back, place glass."
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,Turn right,none,1,"turn right, search for glass, pick glass, go back, place glass."
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,It is on the left,none,1,"turn left, search for glass, pick glass, go back, place glass."
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for glass, pick glass, go back, place glass."
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,It is behind you,none,1,"turn around, search for glass, pick glass, go back, place glass."
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,Turn around,none,1,"turn around, search for glass, pick glass, go back, place glass."
,get me a glass,found,0,found the glass but I cannot perform the task. Any guidance?
 <user>: get me a glass <robot>: found the glass but I cannot perform the task. Any guidance?,Get the glass on the table to the left,none,1,"turn left, search for glass, pick glass, go back, place glass."
 <user>: get me a glass <robot>: found the glass but I cannot perform the task. Any guidance?,Get the glass on the table to the right,none,1,"turn right, search for glass, pick glass, go back, place glass."
,get me a cup,found,1,"pick cup, go back, place cup."
,get me a cup,none,0,failed to find cup in the scene. Any guidance?
 <user>: get me a cup <robot>: failed to find cup in the scene. Any guidance?,Turn left,none,1,"turn left, search for cup, pick cup, go back, place cup."
 <user>: get me a cup <robot>: failed to find cup in the scene. Any guidance?,Turn right,none,1,"turn right, search for cup, pick cup, go back, place cup."
 <user>: get me a cup <robot>: failed to find cup in the scene. Any guidance?,It is on the left,none,1,"turn left, search for cup, pick cup, go back, place cup."
 <user>: get me a cup <robot>: failed to find cup in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for cup, pick cup, go back, place cup."
 <user>: get me a cup <robot>: failed to find cup in the scene. Any guidance?,It is behind you,none,1,"turn around, search for cup, pick cup, go back, place cup."
 <user>: get me a cup <robot>: failed to find cup in the scene. Any guidance?,Turn around,none,1,"turn around, search for cup, pick cup, go back, place cup."
,get me a cup,found,0,found the cup but I cannot perform the task. Any guidance?
 <user>: get me a cup <robot>: found the cup but I cannot perform the task. Any guidance?,Get the cup on the table to the left,none,1,"turn left, search for cup, pick cup, go back, place cup."
 <user>: get me a cup <robot>: found the cup but I cannot perform the task. Any guidance?,Get the cup on the table to the right,none,1,"turn right, search for cup, pick cup, go back, place cup."
,get me a plate,found,1,"pick plate, go back, place plate."
,get me a plate,none,0,failed to find plate in the scene. Any guidance?
 <user>: get me a plate <robot>: failed to find plate in the scene. Any guidance?,Turn left,none,1,"turn left, search for plate, pick plate, go back, place plate."
 <user>: get me a plate <robot>: failed to find plate in the scene. Any guidance?,Turn right,none,1,"turn right, search for plate, pick plate, go back, place plate."
 <user>: get me a plate <robot>: failed to find plate in the scene. Any guidance?,It is on the left,none,1,"turn left, search for plate, pick plate, go back, place plate."
 <user>: get me a plate <robot>: failed to find plate in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for plate, pick plate, go back, place plate."
 <user>: get me a plate <robot>: failed to find plate in the scene. Any guidance?,It is behind you,none,1,"turn around, search for plate, pick plate, go back, place plate."
 <user>: get me a plate <robot>: failed to find plate in the scene. Any guidance?,Turn around,none,1,"turn around, search for plate, pick plate, go back, place plate."
,get me a plate,found,0,found the plate but I cannot perform the task. Any guidance?
 <user>: get me a plate <robot>: found the plate but I cannot perform the task. Any guidance?,Get the plate on the table to the left,none,1,"turn left, search for plate, pick plate, go back, place plate."
 <user>: get me a plate <robot>: found the plate but I cannot perform the task. Any guidance?,Get the plate on the table to the right,none,1,"turn right, search for plate, pick plate, go back, place plate."
,get me a bowl,found,1,"pick bowl, go back, place bowl."
,get me a bowl,none,0,failed to find bowl in the scene. Any guidance?
 <user>: get me a bowl <robot>: failed to find bowl in the scene. Any guidance?,Turn left,none,1,"turn left, search for bowl, pick bowl, go back, place bowl."
 <user>: get me a bowl <robot>: failed to find bowl in the scene. Any guidance?,Turn right,none,1,"turn right, search for bowl, pick bowl, go back, place bowl."
 <user>: get me a bowl <robot>: failed to find bowl in the scene. Any guidance?,It is on the left,none,1,"turn left, search for bowl, pick bowl, go back, place bowl."
 <user>: get me a bowl <robot>: failed to find bowl in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for bowl, pick bowl, go back, place bowl."
 <user>: get me a bowl <robot>: failed to find bowl in the scene. Any guidance?,It is behind you,none,1,"turn around, search for bowl, pick bowl, go back, place bowl."
 <user>: get me a bowl <robot>: failed to find bowl in the scene. Any guidance?,Turn around,none,1,"turn around, search for bowl, pick bowl, go back, place bowl."
,get me a bowl,found,0,found the bowl but I cannot perform the task. Any guidance?
 <user>: get me a bowl <robot>: found the bowl but I cannot perform the task. Any guidance?,Get the bowl on the table to the left,none,1,"turn left, search for bowl, pick bowl, go back, place bowl."
 <user>: get me a bowl <robot>: found the bowl but I cannot perform the task. Any guidance?,Get the bowl on the table to the right,none,1,"turn right, search for bowl, pick bowl, go back, place bowl."
,get me a spoon,found,1,"pick spoon, go back, place spoon."
,get me a spoon,none,0,failed to find spoon in the scene. Any guidance?
 <user>: get me a spoon <robot>: failed to find spoon in the scene. Any guidance?,Turn left,none,1,"turn left, search for spoon, pick spoon, go back, place spoon."
 <user>: get me a spoon <robot>: failed to find spoon in the scene. Any guidance?,Turn right,none,1,"turn right, search for spoon, pick spoon, go back, place spoon."
 <user>: get me a spoon <robot>: failed to find spoon in the scene. Any guidance?,It is on the left,none,1,"turn left, search for spoon, pick spoon, go back, place spoon."
 <user>: get me a spoon <robot>: failed to find spoon in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for spoon, pick spoon, go back, place spoon."
 <user>: get me a spoon <robot>: failed to find spoon in the scene. Any guidance?,It is behind you,none,1,"turn around, search for spoon, pick spoon, go back, place spoon."
 <user>: get me a spoon <robot>: failed to find spoon in the scene. Any guidance?,Turn around,none,1,"turn around, search for spoon, pick spoon, go back, place spoon."
,get me a spoon,found,0,found the spoon but I cannot perform the task. Any guidance?
 <user>: get me a spoon <robot>: found the spoon but I cannot perform the task. Any guidance?,Get the spoon on the table to the left,none,1,"turn left, search for spoon, pick spoon, go back, place spoon."
 <user>: get me a spoon <robot>: found the spoon but I cannot perform the task. Any guidance?,Get the spoon on the table to the right,none,1,"turn right, search for spoon, pick spoon, go back, place spoon."
,get me a fork,found,1,"pick fork, go back, place fork."
,get me a fork,none,0,failed to find fork in the scene. Any guidance?
 <user>: get me a fork <robot>: failed to find fork in the scene. Any guidance?,Turn left,none,1,"turn left, search for fork, pick fork, go back, place fork."
 <user>: get me a fork <robot>: failed to find fork in the scene. Any guidance?,Turn right,none,1,"turn right, search for fork, pick fork, go back, place fork."
 <user>: get me a fork <robot>: failed to find fork in the scene. Any guidance?,It is on the left,none,1,"turn left, search for fork, pick fork, go back, place fork."
 <user>: get me a fork <robot>: failed to find fork in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for fork, pick fork, go back, place fork."
 <user>: get me a fork <robot>: failed to find fork in the scene. Any guidance?,It is behind you,none,1,"turn around, search for fork, pick fork, go back, place fork."
 <user>: get me a fork <robot>: failed to find fork in the scene. Any guidance?,Turn around,none,1,"turn around, search for fork, pick fork, go back, place fork."
,get me a fork,found,0,found the fork but I cannot perform the task. Any guidance?
 <user>: get me a fork <robot>: found the fork but I cannot perform the task. Any guidance?,Get the fork on the table to the left,none,1,"turn left, search for fork, pick fork, go back, place fork."
 <user>: get me a fork <robot>: found the fork but I cannot perform the task. Any guidance?,Get the fork on the table to the right,none,1,"turn right, search for fork, pick fork, go back, place fork."
,get me a knife,found,1,"pick knife, go back, place knife."
,get me a knife,none,0,failed to find knife in the scene. Any guidance?
 <user>: get me a knife <robot>: failed to find knife in the scene. Any guidance?,Turn left,none,1,"turn left, search for knife, pick knife, go back, place knife."
 <user>: get me a knife <robot>: failed to find knife in the scene. Any guidance?,Turn right,none,1,"turn right, search for knife, pick knife, go back, place knife."
 <user>: get me a knife <robot>: failed to find knife in the scene. Any guidance?,It is on the left,none,1,"turn left, search for knife, pick knife, go back, place knife."
 <user>: get me a knife <robot>: failed to find knife in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for knife, pick knife, go back, place knife."
 <user>: get me a knife <robot>: failed to find knife in the scene. Any guidance?,It is behind you,none,1,"turn around, search for knife, pick knife, go back, place knife."
 <user>: get me a knife <robot>: failed to find knife in the scene. Any guidance?,Turn around,none,1,"turn around, search for knife, pick knife, go back, place knife."
,get me a knife,found,0,found the knife but I cannot perform the task. Any guidance?
 <user>: get me a knife <robot>: found the knife but I cannot perform the task. Any guidance?,Get the knife on the table to the left,none,1,"turn left, search for knife, pick knife, go back, place knife."
 <user>: get me a knife <robot>: found the knife but I cannot perform the task. Any guidance?,Get the knife on the table to the right,none,1,"turn right, search for knife, pick knife, go back, place knife."
,get me a book,found,1,"pick book, go back, place book."
,get me a book,none,0,failed to find book in the scene. Any guidance?
 <user>: get me a book <robot>: failed to find book in the scene. Any guidance?,Turn left,none,1,"turn left, search for book, pick book, go back, place book."
 <user>: get me a book <robot>: failed to find book in the scene. Any guidance?,Turn right,none,1,"turn right, search for book, pick book, go back, place book."
 <user>: get me a book <robot>: failed to find book in the scene. Any guidance?,It is on the left,none,1,"turn left, search for book, pick book, go back, place book."
 <user>: get me a book <robot>: failed to find book in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for book, pick book, go back, place book."
 <user>: get me a book <robot>: failed to find book in the scene. Any guidance?,It is behind you,none,1,"turn around, search for book, pick book, go back, place book."
 <user>: get me a book <robot>: failed to find book in the scene. Any guidance?,Turn around,none,1,"turn around, search for book, pick book, go back, place book."
,get me a book,found,0,found the book but I cannot perform the task. Any guidance?
 <user>: get me a book <robot>: found the book but I cannot perform the task. Any guidance?,Get the book on the table to the left,none,1,"turn left, search for book, pick book, go back, place book."
 <user>: get me a book <robot>: found the book but I cannot perform the task. Any guidance?,Get the book on the table to the right,none,1,"turn right, search for book, pick book, go back, place book."
,get me a notebook,found,1,"pick notebook, go back, place notebook."
,get me a notebook,none,0,failed to find notebook in the scene. Any guidance?
 <user>: get me a notebook <robot>: failed to find notebook in the scene. Any guidance?,Turn left,none,1,"turn left, search for notebook, pick notebook, go back, place notebook."
 <user>: get me a notebook <robot>: failed to find notebook in the scene. Any guidance?,Turn right,none,1,"turn right, search for notebook, pick notebook, go back, place notebook."
 <user>: get me a notebook <robot>: failed to find notebook in the scene. Any guidance?,It is on the left,none,1,"turn left, search for notebook, pick notebook, go back, place notebook."
 <user>: get me a notebook <robot>: failed to find notebook in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for notebook, pick notebook, go back, place notebook."
 <user>: get me a notebook <robot>: failed to find notebook in the scene. Any guidance?,It is behind you,none,1,"turn around, search for notebook, pick notebook, go back, place notebook."
 <user>: get me a notebook <robot>: failed to find notebook in the scene. Any guidance?,Turn around,none,1,"turn around, search for notebook, pick notebook, go back, place notebook."
,get me a notebook,found,0,found the notebook but I cannot perform the task. Any guidance?
 <user>: get me a notebook <robot>: found the notebook but I cannot perform the task. Any guidance?,Get the notebook on the table to the left,none,1,"turn left, search for notebook, pick notebook, go back, place notebook."
 <user>: get me a notebook <robot>: found the notebook but I cannot perform the task. Any guidance?,Get the notebook on the table to the right,none,1,"turn right, search for notebook, pick notebook, go back, place notebook."
,get me a pen,found,1,"pick pen, go back, place pen."
,get me a pen,none,0,failed to find pen in the scene. Any guidance?
 <user>: get me a pen <robot>: failed to find pen in the scene. Any guidance?,Turn left,none,1,"turn left, search for pen, pick pen, go back, place pen."
 <user>: get me a pen <robot>: failed to find pen in the scene. Any guidance?,Turn right,none,1,"turn right, search for pen, pick pen, go back, place pen."
 <user>: get me a pen <robot>: failed to find pen in the scene. Any guidance?,It is on the left,none,1,"turn left, search for pen, pick pen, go back, place pen."
 <user>: get me a pen <robot>: failed to find pen in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for pen, pick pen, go back, place pen."
 <user>: get me a pen <robot>: failed to find pen in the scene. Any guidance?,It is behind you,none,1,"turn around, search for pen, pick pen, go back, place pen."
 <user>: get me a pen <robot>: failed to find pen in the scene. Any guidance?,Turn around,none,1,"turn around, search for pen, pick pen, go back, place pen."
,get me a pen,found,0,found the pen but I cannot perform the task. Any guidance?
 <user>: get me a pen <robot>: found the pen but I cannot perform the task. Any guidance?,Get the pen on the table to the left,none,1,"turn left, search for pen, pick pen, go back, place pen."
 <user>: get me a pen <robot>: found the pen but I cannot perform the task. Any guidance?,Get the pen on the table to the right,none,1,"turn right, search for pen, pick pen, go back, place pen."
,get me a pencil,found,1,"pick pencil, go back, place pencil."
,get me a pencil,none,0,failed to find pencil in the scene. Any guidance?
 <user>: get me a pencil <robot>: failed to find pencil in the scene. Any guidance?,Turn left,none,1,"turn left, search for pencil, pick pencil, go back, place pencil."
 <user>: get me a pencil <robot>: failed to find pencil in the scene. Any guidance?,Turn right,none,1,"turn right, search for pencil, pick pencil, go back, place pencil."
 <user>: get me a pencil <robot>: failed to find pencil in the scene. Any guidance?,It is on the left,none,1,"turn left, search for pencil, pick pencil, go back, place pencil."
 <user>: get me a pencil <robot>: failed to find pencil in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for pencil, pick pencil, go back, place pencil."
 <user>: get me a pencil <robot>: failed to find pencil in the scene. Any guidance?,It is behind you,none,1,"turn around, search for pencil, pick pencil, go back, place pencil."
 <user>: get me a pencil <robot>: failed to find pencil in the scene. Any guidance?,Turn around,none,1,"turn around, search for pencil, pick pencil, go back, place pencil."
,get me a pencil,found,0,found the pencil but I cannot perform the task. Any guidance?
 <user>: get me a pencil <robot>: found the pencil but I cannot perform the task. Any guidance?,Get the pencil on the table to the left,none,1,"turn left, search for pencil, pick pencil, go back, place pencil."
 <user>: get me a pencil <robot>: found the pencil but I cannot perform the task. Any guidance?,Get the pencil on the table to the right,none,1,"turn right, search for pencil, pick pencil, go back, place pencil."
,get me a marker,found,1,"pick marker, go back, place marker."
,get me a marker,none,0,failed to find marker in the scene. Any guidance?
 <user>: get me a marker <robot>: failed to find marker in the scene. Any guidance?,Turn left,none,1,"turn left, search for marker, pick marker, go back, place marker."
 <user>: get me a marker <robot>: failed to find marker in the scene. Any guidance?,Turn right,none,1,"turn right, search for marker, pick marker, go back, place marker."
 <user>: get me a marker <robot>: failed to find marker in the scene. Any guidance?,It is on the left,none,1,"turn left, search for marker, pick marker, go back, place marker."
 <user>: get me a marker <robot>: failed to find marker in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for marker, pick marker, go back, place marker."
 <user>: get me a marker <robot>: failed to find marker in the scene. Any guidance?,It is behind you,none,1,"turn around, search for marker, pick marker, go back, place marker."
 <user>: get me a marker <robot>: failed to find marker in the scene. Any guidance?,Turn around,none,1,"turn around, search for marker, pick marker, go back, place marker."
,get me a marker,found,0,found the marker but I cannot perform the task. Any guidance?
 <user>: get me a marker <robot>: found the marker but I cannot perform the task. Any guidance?,Get the marker on the table to the left,none,1,"turn left, search for marker, pick marker, go back, place marker."
 <user>: get me a marker <robot>: found the marker but I cannot perform the task. Any guidance?,Get the marker on the table to the right,none,1,"turn right, search for marker, pick marker, go back, place marker."
